team,wins,losses,winpercent,updated_time
Atlanta Hawks,46,36,0.5609756,2026-06-18T14:15:13Z
Boston Celtics,56,26,0.68292683,2026-06-18T14:15:13Z
Brooklyn Nets,20,62,0.24390244,2026-06-18T14:15:13Z
Charlotte Hornets,44,38,0.5365854,2026-06-18T14:15:13Z
Chicago Bulls,31,51,0.37804878,2026-06-18T14:15:13Z
Cleveland Cavaliers,52,30,0.63414633,2026-06-18T14:15:13Z
Dallas Mavericks,26,56,0.31707317,2026-06-18T14:15:13Z
Denver Nuggets,54,28,0.6585366,2026-06-18T14:15:13Z
Detroit Pistons,60,22,0.73170733,2026-06-18T14:15:13Z
Golden State Warriors,37,45,0.4512195,2026-06-18T14:15:13Z
Houston Rockets,52,30,0.63414633,2026-06-18T14:15:13Z
Indiana Pacers,19,63,0.23170732,2026-06-18T14:15:13Z
LA Clippers,42,40,0.5121951,2026-06-18T14:15:13Z
Los Angeles Lakers,53,29,0.64634144,2026-06-18T14:15:13Z
Memphis Grizzlies,25,57,0.30487806,2026-06-18T14:15:13Z
Miami Heat,43,39,0.5243902,2026-06-18T14:15:13Z
Milwaukee Bucks,32,50,0.3902439,2026-06-18T14:15:13Z
Minnesota Timberwolves,49,33,0.597561,2026-06-18T14:15:13Z
New Orleans Pelicans,26,56,0.31707317,2026-06-18T14:15:13Z
New York Knicks,53,29,0.64634144,2026-06-18T14:15:13Z
Oklahoma City Thunder,64,18,0.7804878,2026-06-18T14:15:13Z
Orlando Magic,45,37,0.5487805,2026-06-18T14:15:13Z
Philadelphia 76ers,45,37,0.5487805,2026-06-18T14:15:13Z
Phoenix Suns,45,37,0.5487805,2026-06-18T14:15:13Z
Portland Trail Blazers,42,40,0.5121951,2026-06-18T14:15:13Z
Sacramento Kings,22,60,0.2682927,2026-06-18T14:15:13Z
San Antonio Spurs,62,20,0.75609756,2026-06-18T14:15:13Z
Toronto Raptors,46,36,0.5609756,2026-06-18T14:15:13Z
Utah Jazz,22,60,0.2682927,2026-06-18T14:15:13Z
Washington Wizards,17,65,0.20731707,2026-06-18T14:15:13Z
