league,team_label,wins,losses,win_pct_text,games_remaining,last_ten
AL,NYY,19,7,.731,136,▀▀▀▀▀▀▀▀▄▀
AL,TB ,18,10,.643,134,▀▀▄▄▀▀▀▀▀▀
AL,MIN,18,11,.621,133,▄▀▀▀▀▄▄▀▀▀
AL,HOU,18,11,.621,133,▀▄▄▀▀▀▀▀▀▀
AL,LAA,18,11,.621,133,▀▀▄▀▄▄▀▀▀▄
AL,TOR,17,13,.567,132,▄▀▀▄▄▀▄▄▀▄
AL,CWS,14,13,.519,135,▄▄▀▄▀▀▀▀▀▀
AL,CLE,14,14,.500,134,▄▀▀▀▀▄▀▀▄▀
AL,SEA,12,16,.429,134,▄▄▄▀▄▄▄▄▄▄
AL,TEX,10,15,.400,137,▀▄▄▄▄▀▀▀▀▄
AL,KC ,9,15,.375,138,▀▄▀▄▄▄▄▀▄▀
AL,BAL,10,17,.370,135,▄▄▄▀▀▄▄▀▀▄
AL,OAK,10,18,.357,134,▀▄▄▄▄▄▄▄▄▄
AL,BOS,10,19,.345,133,▄▀▄▄▀▄▄▄▄▄
AL,DET,8,19,.296,135,▄▄▀▄▄▀▄▄▄▄
NL,LAD,18,7,.720,137,▀▄▄▀▄▀▀▀▀▀
NL,MIL,19,10,.655,133,▀▀▀▄▀▀▀▀▄▄
NL,NYM,19,10,.655,133,▄▀▄▀▄▀▀▄▀▄
NL,SD ,18,10,.643,134,▀▀▀▄▀▄▀▀▀▄
NL,STL,16,11,.593,135,▀▄▄▀▀▄▀▀▀▄
NL,COL,16,11,.593,135,▄▄▀▀▀▄▀▀▄▀
NL,SF ,15,12,.556,135,▀▄▄▀▄▄▄▄▄▀
NL,ARI,14,14,.500,134,▀▄▀▀▄▀▀▀▀▄
NL,MIA,13,14,.481,135,▀▀▀▄▄▄▄▄▄▀
NL,ATL,14,16,.467,132,▀▄▄▀▄▄▀▄▀▀
NL,PHI,12,15,.444,135,▀▀▀▄▀▄▄▄▄▀
NL,PIT,11,16,.407,135,▄▄▄▀▄▀▄▀▄▄
NL,CHC,9,17,.346,136,▄▀▄▄▄▀▄▄▄▄
NL,WSH,10,19,.345,133,▄▄▀▄▀▀▄▄▄▀
NL,CIN,5,23,.179,134,▄▄▄▄▄▄▄▄▀▀
